,ADM,CAG,CHD,CL,CLX,COST,COTY,CPB,CVS,DPS,EL,GIS,HRL,HSY,K,KHC,KMB,KO,KR,MDLZ,MKC,MNST,MO,PEP,PG,PM,SJM,STZ,SYY,TAP,TSN,WBA,WMT
0,37.59,30.249027,41.264999,64.599998,121.080002,153.809998,28.0,47.919998,91.870003,86.860001,82.660004,55.91,33.064999,83.870003,66.089996,71.019997,117.32,41.43,36.049999,43.509998,81.769997,49.049999,56.279999,97.75,74.25,83.400002,111.440002,132.490005,39.970001,94.32,42.970001,79.0,56.389999
1,38.34,31.042801,41.785,65.91999799999999,121.93,157.350006,27.540001,48.68,93.75,87.949997,83.25,57.080002,34.0,84.739998,66.93,72.099998,119.690002,41.849998,36.68,44.080002,83.379997,49.166668,56.849998,99.540001,75.33000200000002,84.300003,113.300003,135.589996,40.599998,94.349998,44.220001,82.160004,59.34
2,37.419998,31.050583000000003,41.790001,65.32,121.980003,158.889999,26.690001,48.130001,93.849998,87.25,82.470001,56.27,33.959999,83.940002,66.220001,71.839996,119.339996,41.77,37.02,43.959999,83.050003,48.523335,56.889999,99.07,74.980003,84.08000200000002,112.139999,138.46000700000002,40.470001,95.360001,44.049999,82.970001,60.040001
3,37.41,32.015564000000005,42.575001,66.32,123.82,161.690002,27.07,49.080002,95.199997,89.040001,84.139999,57.290001,34.404999,85.519997,66.650002,73.25,121.260002,42.32,37.549999,44.59,84.93,49.643333,57.220001,100.519997,76.139999,85.68,118.07,137.979996,41.41,94.410004,45.209999,84.550003,61.119999
4,36.529999,32.155643,43.009998,66.75,124.980003,164.160004,26.950001,49.700001,93.120003,89.730003,84.82,57.23,34.619999,85.389999,66.91999799999999,74.16999799999998,122.400002,43.310001,37.450001,44.93,85.099998,50.130001,57.549999,101.519997,76.550003,86.699997,122.150002,138.130005,41.580002,94.360001,44.439999,83.529999,60.98
5,35.810001,31.828794,42.945,66.099998,123.93,163.529999,27.049999,49.18,91.940002,88.32,84.410004,56.950001,34.244999,84.440002,67.389999,74.029999,120.370003,42.549999,37.290001,43.880001,84.379997,49.533333,57.32,100.480003,75.82,86.220001,122.970001,139.360001,41.02,93.150002,45.200001,81.620003,60.290001
6,36.470001,32.093384,42.845001,66.43,125.0,162.259995,27.940001,51.709999,91.190002,88.5,85.010002,57.52,35.209999,85.059998,68.449997,73.730003,120.769997,42.700001,37.02,43.790001,84.82,50.193333,57.389999,100.330002,75.620003,86.089996,120.620003,141.199997,41.189999,92.209999,48.189999,81.129997,59.950001
7,36.009998,32.350193,43.264999,66.93,124.989998,162.03999299999995,28.73,51.459999,92.519997,89.389999,85.75,57.98,36.119999,86.25,68.059998,74.449997,121.120003,43.32,37.119999,43.950001,85.230003,50.73,57.599998,100.529999,76.529999,86.620003,122.879997,141.839996,41.32,92.239998,49.150002,82.93,60.0
8,36.43,32.404671,43.619999,66.510002,125.019997,163.110001,28.99,52.610001,94.190002,89.730003,85.470001,58.330002,36.869999,86.790001,68.93,74.57,120.769997,43.040001,37.369999,44.07,85.769997,52.136665,57.59,100.089996,75.889999,87.120003,123.089996,143.320007,41.52,92.769997,49.939999,83.459999,60.439999
9,36.529999,32.295719,43.549999,66.559998,125.510002,164.169998,27.24,53.18,94.559998,90.589996,85.190002,58.57,37.689999,86.970001,69.360001,74.519997,121.059998,43.119999,38.049999,44.419998,86.480003,52.236668,57.959999,100.739998,75.58000200000002,87.910004,123.660004,143.800003,41.52,93.379997,50.720001,84.099998,59.869999
10,36.799999,32.0,43.0,65.769997,125.089996,162.020004,27.93,53.060001,94.669998,90.160004,84.260002,58.200001,37.814999,86.349998,69.389999,74.230003,120.0,42.73,38.009998,44.080002,85.650002,51.849998,57.66,100.110001,74.870003,87.440002,121.779999,140.949997,41.34,92.339996,50.220001,84.43,59.130001
11,36.599998,31.774319,43.27,65.82,126.629997,161.71000700000005,27.809999,52.919998,94.949997,91.510002,84.93,58.139999,37.724998,85.82,69.190002,74.209999,120.260002,42.830002,38.240002,44.34,86.290001,52.333332,57.889999,100.360001,75.730003,87.550003,120.800003,142.910004,41.049999,93.0,50.779999,84.040001,58.610001
12,36.48,32.062256,43.145,65.699997,126.529999,164.509995,27.370001,52.720001,94.620003,90.790001,84.260002,57.889999,37.814999,85.300003,68.860001,73.300003,120.279999,42.73,38.720001,43.91,85.470001,51.450001,57.700001,99.620003,75.83000200000002,87.559998,121.040001,141.990005,41.07,92.699997,50.75,83.589996,58.689999
13,35.669998,31.424124,42.759998,65.970001,126.360001,164.119995,26.809999,52.639999,93.279999,90.080002,84.010002,57.490002,37.945,84.809998,68.68,71.400002,119.160004,42.580002,39.900002,42.830002,84.83000200000002,51.029999,57.459999,99.199997,75.980003,87.410004,120.690002,140.770004,40.650002,92.0,51.48,82.019997,59.049999
14,35.970001,32.007782,43.369999,66.389999,128.699997,167.330002,26.459999,53.139999,95.800003,92.269997,85.440002,58.400002,38.799999,86.440002,70.099998,71.91999799999998,121.150002,43.310001,40.880001,44.43,86.440002,53.396667,58.59,101.029999,77.540001,89.25,123.040001,144.229996,41.130001,95.220001,51.509998,84.459999,59.57
15,35.16,31.470818,43.334999,66.050003,128.929993,166.740005,27.049999,52.709999,95.860001,91.419998,86.43,58.09,38.5,86.949997,70.25,71.0,121.080002,43.049999,41.279999,43.490002,86.959999,51.580002,58.18,100.400002,77.68,88.559998,123.040001,141.300003,40.779999,94.279999,51.110001,84.260002,60.07
