,APA,APC,CHK,COG,COP,CVX,CXO,DVN,EOG,EQT,FTI,HAL,HES,HP,KMI,MPC,MRO,MUR,NBL,NFX,NOV,OKE,OXY,PSX,PXD,RIG,RRC,SLB,SWN,VLO,WMB,XEC,XOM
0,49.099998,60.119999,6.11,20.77,51.900002,87.790001,105.07,45.119999,82.440002,62.48,32.279999,37.43,60.0,53.52,23.35,53.5,17.209999,28.879999,35.24000200000001,38.419998,37.299999,28.639999,73.524796,88.980003,140.809998,14.21,31.85,76.269997,11.04,68.790001,35.099998,113.029999,77.940002
1,50.220001,61.84,6.19,22.370001,54.150002,91.269997,107.260002,46.150002,84.290001,63.02,33.290001000000004,38.43,60.759998,54.639999,24.049999,53.650002,17.65,29.870001,35.24000200000001,39.880001,37.689999,29.5,74.902451,90.769997,142.720001,14.52,34.5,78.040001,11.04,69.589996,37.259998,116.25,80.709999
2,50.5,61.689999,5.96,21.120001,54.439999,91.440002,110.190002,46.48,83.839996,61.330002,33.509998,38.400002,60.52,55.130001,23.48,54.27,17.940001000000006,30.43,36.689999,40.849998,37.459999,28.629999,74.483162,91.279999,144.360001,14.9,33.150002,77.0,11.09,70.120003,37.709999,117.790001,79.889999
3,49.650002,61.150002,5.5,20.26,54.189999,92.029999,110.610001,46.5,84.260002,60.130001,34.18,38.549999,60.779999,55.459999,24.200001,55.5,17.709999,30.5,36.959999,40.299999,37.98,29.16,75.191956,92.360001,142.830002,14.6,31.76,77.730003,10.41,70.43,37.73,117.43,80.510002
4,49.639999,59.849998,5.41,20.41,53.619999,90.639999,109.269997,46.119999,83.0,59.459999,33.5,38.150002,60.040001,54.610001,23.700001,55.970001,17.6,30.209999,36.540001,39.139999,37.549999,28.9,75.122078,92.550003,141.529999,14.32,31.52,77.91999799999998,9.75,71.300003,37.580002,115.629997,80.57
5,48.849998,58.75,5.05,19.639999,52.790001,88.650002,108.720001,45.07,82.360001,58.82,33.040001000000004,37.709999,58.939999,54.509998,23.48,54.779999,17.389999,28.51,35.59,37.720001,37.209999,28.620001,73.86421999999997,90.489998,140.970001,13.77,30.35,76.690002,9.0,72.220001,36.740002,114.68,79.599998
6,49.150002,60.900002,5.29,19.51,53.459999,90.190002,110.309998,45.470001,83.300003,58.869999,33.490002000000004,38.630001,59.23,56.439999,23.690001,56.349998,17.790001,28.83,36.540001,38.970001,37.810001,29.139999,74.423264,92.099998,145.240005,14.24,31.120001,77.510002,9.07,72.629997,36.68,119.68,80.349998
7,50.419998,61.299999,5.37,19.02,54.990002,90.709999,110.980003,46.299999,84.239998,58.799999,33.799999,39.330002,60.669998,58.540001,24.299999,57.549999,18.219999,29.26,36.599998,38.869999,38.16,29.93,74.972328,93.07,146.119995,14.22,30.290001,77.43,9.12,72.809998,36.900002,120.57,81.300003
8,49.700001,60.52,5.35,19.110001,53.830002,90.25,109.209999,45.439999,82.879997,57.73,33.66,38.93,60.139999,58.27,23.98,57.470001,17.85,29.0,36.509998,38.310001,37.720001,29.940001,74.423264,92.290001,145.419998,14.29,29.76,76.790001,9.31,72.599998,36.09,119.239998,80.58000200000002
9,49.759998,60.880001,5.3,19.190001,53.509998,90.639999,108.760002,45.080002,82.410004,57.720001,34.130001,39.240002,59.32,58.77,23.82,58.66,17.57,28.58,36.84,38.619999,37.779999,29.629999,75.13205699999997,93.089996,145.020004,14.39,28.809999,77.089996,8.79,72.949997,36.209999,119.0,81.41999799999998
10,49.34,60.09,5.27,18.780001,54.459999,90.970001,110.519997,46.110001,83.449997,57.09,33.919998,39.5,59.32,57.849998,23.6,58.82,17.57,28.68,36.759998,38.32,37.389999,29.41,75.551346,92.330002,145.979996,14.1,28.41,76.809998,8.97,72.480003,36.689999,119.160004,81.760002
11,48.77,59.889999,5.43,18.32,54.209999,92.599998,111.349998,45.779999,83.33000200000002,56.75,33.790001000000004,39.880001,58.889999,57.709999,22.18,59.110001,17.41,28.83,36.639999,38.77,36.900002,28.809999,75.870796,92.160004,148.169998,13.9,28.32,77.389999,8.8,72.43,36.290001,121.199997,81.309998
12,47.740002,59.450001,5.43,18.07,52.810001,90.809998,107.519997,43.869999,81.639999,54.650002,33.98,39.240002,57.150002,55.779999,20.610001,58.240002,16.85,27.33,35.779999,37.689999,37.23,27.209999,75.58129100000002,91.0,145.25,14.19,28.93,76.459999,8.82,72.019997,35.61000100000001,116.709999,79.720001
13,44.959999,57.41,4.85,16.84,50.84,87.900002,105.0,40.34,79.290001,52.900002,32.869999,37.509998,54.360001,54.779999,18.91,54.830002,16.219998999999998,25.82,34.950001,36.369999,36.490002,26.65,71.288605,90.349998,142.96000700000005,13.81,27.58,73.83000200000002,8.05,70.209999,33.09,113.800003,77.349998
14,44.73,54.779999,4.27,16.540001,49.73,87.480003,102.5,37.759998,77.879997,53.23,31.66,36.990002,53.009998,51.939999,15.66,54.880001,15.54,24.629999,32.700001,35.66,35.560001,23.969999,69.82109799999999,88.620003,141.5,13.17,26.969999,72.650002,7.34,70.849998,29.549999,110.080002,77.33000200000002
15,43.419998,52.43,4.05,16.24,47.650002,85.809998,99.449997,35.299999,74.720001,52.290001,30.379999,35.709999,51.43,49.84,15.29,52.82,14.25,23.299999,31.33,34.48,33.970001,21.110001,66.486778,85.57,133.740005,13.13,24.889999,71.220001,6.86,69.650002,26.120001,102.779999,75.269997
16,45.02,51.98,4.46,17.59,48.349998,86.66999799999998,100.839996,36.389999,77.470001,55.459999,30.940001,36.599998,52.400002,50.82,15.72,52.540001,14.89,23.6,33.580002,36.209999,33.82,21.85,67.29540300000001,86.510002,141.270004,13.56,26.25,72.099998,7.07,70.58000200000002,26.969999,105.589996,74.839996
17,44.59,50.57,4.39,17.219998999999998,48.23,88.0,98.699997,35.099998,77.839996,51.580002,31.0,38.009998,51.619999,51.700001,16.549999,52.240002,14.43,22.690001,32.990002000000004,35.130001,33.630001,22.17,67.544975,86.480003,142.309998,12.96,25.93,71.790001,6.83,70.5,28.57,103.550003,75.800003
18,45.25,50.009998,4.43,17.24,48.25,87.849998,102.330002,34.540001000000004,77.32,51.380001,30.26,37.740002,51.73,51.889999,16.48,51.490002,14.38,22.940001,33.639999,36.139999,33.619999,21.92,67.19577,85.459999,143.139999,12.95,24.889999,71.480003,6.61,70.129997,28.889999,104.169998,74.82
19,42.5,49.119999,4.05,15.91,47.580002,86.300003,98.269997,33.369999,74.360001,49.669998,28.76,36.830002,49.849998,51.189999,16.309998999999998,49.290001,14.16,22.35,32.400002,34.810001,33.310001,20.110001,65.38884,82.32,138.75,12.57,22.07,69.379997,5.81,67.0,26.219999,100.650002,74.300003
20,43.759998,48.23,4.09,15.86,50.349998,90.580002,103.93,31.98,77.970001,48.5,29.66,37.080002,51.119999,52.82,16.1,48.959999,14.27,22.66,32.310001,35.400002,33.990002000000004,20.83,67.325356,82.41999799999998,143.630005,12.89,22.120001,71.0,5.65,68.300003,25.84,103.209999,77.43
21,44.91,48.740002,3.78,15.16,50.299999,92.580002,108.480003,31.85,77.290001,48.560001,30.52,36.84,51.369999,54.290001,15.73,49.0,14.47,22.49,32.450001,35.209999,34.41,21.08,68.323654,81.550003,144.889999,13.39,21.540001,71.5,5.4,68.290001,25.42,105.080002,79.040001
22,44.700001,48.639999,3.89,15.43,49.369999,93.5,102.309998,30.51,75.470001,48.119999,30.18,35.849998,51.040001,54.09,15.86,49.93,13.79,22.18,32.48,34.369999,34.23,20.809999,68.114006,83.0,134.509995,13.2,21.860001,71.110001,5.36,70.889999,25.76,100.800003,79.019997
23,42.799999,46.470001,3.76,15.29,47.049999,90.059998,95.800003,28.950001,73.190002,47.779999,28.870001,34.0,49.200001,51.799999,15.37,51.349998,12.78,21.879999,31.17,32.540001000000004,33.540001000000004,19.809999,66.30727399999999,81.5,130.509995,12.77,21.51,69.040001,5.16,71.410004,23.92,96.0,77.57
24,42.669998,45.869999,4.03,15.7,46.029999,90.400002,92.269997,28.700001,71.599998,49.119999,28.389999,33.610001000000004,48.869999,50.029999,15.07,50.580002,12.54,21.73,31.08,31.49,33.299999,19.41,66.227417,81.019997,121.279999,12.28,21.35,67.440002,5.56,70.349998,21.639999,90.860001,77.790001
25,42.91,46.599998,4.06,16.16,45.18,89.120003,86.910004,28.82,70.33000200000001,49.450001,28.870001,33.439999,47.720001,50.189999,15.03,51.790001,12.54,21.82,31.65,30.42,33.889999,21.77,66.197464,80.91999799999998,115.699997,12.24,21.299999,68.41999799999999,5.83,71.33000200000002,21.99,86.610001,77.699997
26,43.869999,49.549999,4.05,17.01,47.290001,92.199997,90.010002,30.610001,71.400002,49.799999,29.57,34.810001,49.77,54.290001,15.57,52.02,13.07,22.940001,33.360001000000004,31.59,35.139999,23.780001,68.164124,82.709999,119.959999,12.99,22.49,70.610001,6.0,71.989998,23.02,87.480003,78.68
27,46.060001,51.400002,4.49,17.68,49.040001,93.949997,96.019997,33.220001,73.75,51.880001,29.700001,35.43,51.110001,56.029999,16.360001,52.450001,13.98,23.6,34.25,33.27,35.34,24.35,69.092545,84.529999,125.900002,13.1,24.17,70.900002,6.71,71.900002,25.43,92.589996,80.269997
28,44.709999,50.220001,4.38,17.4,47.610001,90.309998,93.699997,32.240002000000004,71.760002,51.66,28.59,34.529999,49.43,54.889999,15.79,52.09,13.53,22.790001,33.290001000000004,32.349998,34.150002,24.0,67.71488199999999,83.18,122.5,12.8,24.08,69.519997,6.65,71.150002,24.66,89.91999799999998,78.120003
29,45.91,50.57,4.21,17.809998999999994,48.23,91.889999,92.480003,32.310001,71.879997,53.23,29.450001,34.93,49.799999,54.830002,15.47,52.34,13.35,22.969999,33.889999,33.240002000000004,34.709999,24.5,69.162224,83.720001,123.75,12.7,24.99,71.68,7.02,71.529999,25.110001,91.269997,79.989998
30,44.59,48.790001,4.26,17.200001,46.939999,90.099998,90.809998,31.5,69.800003,52.049999,28.559999,33.939999,48.490002,53.419998,14.6,51.93,12.73,22.209999,32.82,31.83,33.669998,23.940001,67.14585100000001,82.309998,121.900002,12.37,23.76,69.410004,6.43,70.959999,24.26,88.57,78.32
31,44.5,48.220001,4.38,17.09,46.060001,89.379997,91.279999,30.99,70.110001,51.419998,28.969999,33.950001,47.740002,52.599998,14.4,51.990002,12.33,21.780001,31.91,31.68,33.549999,23.860001,66.30727399999999,81.5,123.419998,12.23,22.969999,69.370003,6.42,71.150002,24.120001,88.910004,77.510002
32,44.25,48.509998,4.44,17.67,46.41,89.529999,92.68,31.780001,70.800003,51.75,28.879999,33.860001000000004,48.400002,53.310001,14.89,51.68,12.56,22.34,32.639999,32.48,33.509998,24.66,66.97614300000001,81.209999,125.190002,12.32,24.59,69.449997,7.03,70.379997,25.52,89.199997,77.5
33,43.5,49.43,4.89,17.66,46.669998,89.050003,90.599998,32.200001,70.059998,53.5,29.139999,34.610001000000004,47.68,53.759998,15.35,51.400002,12.79,22.91,33.439999,32.369999,34.009998,25.309999,67.06598699999999,80.370003,124.349998,12.32,25.700001,69.339996,7.65,70.139999,26.41,91.129997,77.190002
34,42.099998,46.73,4.77,17.02,46.099998,87.440002,86.839996,31.610001,68.5,50.970001,27.959999,33.490002000000004,46.68,51.93,15.16,49.299999,12.25,21.719999,32.720001,31.35,32.779999,24.610001,66.636719,79.120003,115.300003,11.65,24.84,67.91999799999999,7.36,69.879997,25.540001,87.58000200000002,76.639999
35,37.369999,41.950001,4.43,15.71,44.740002,84.550003,81.870003,29.209999,65.91999799999999,48.75,26.549999,32.790001000000004,44.0,49.32,14.46,47.84,10.83,19.6,31.190001,29.17,30.68,23.75,63.961266,76.66999799999998,115.540001,11.05,23.34,66.230003,6.47,69.599998,22.209999,82.800003,76.059998
36,36.860001,40.610001,4.44,16.780001000000002,44.18,83.389999,83.33000200000002,28.35,65.860001,52.150002,27.209999,33.029999,43.93,48.439999,14.52,48.34,10.78,19.59,31.129999,29.700001,30.85,23.0,64.650093,76.91999799999998,117.25,11.08,24.24,66.360001,6.83,72.199997,21.059999,82.489998,76.349998
37,36.669998,40.560001,4.49,17.08,43.32,82.849998,85.5,28.799999,65.879997,54.220001,26.120001,32.419998,43.549999,48.029999,14.87,46.439999,10.4,19.26,30.84,29.860001,30.01,23.709999,62.853149,75.860001,116.889999,10.84,25.59,65.190002,6.54,68.260002,20.309999,82.629997,75.010002
38,35.549999,38.57,4.27,16.32,41.869999,82.199997,83.589996,27.66,64.650002,52.68,26.200001,31.950001,42.490002,46.75,14.31,46.209999,9.7,19.129999,29.450001,29.629999,30.389999,23.940001,61.315586,76.709999,115.940002,10.64,25.59,65.949997,6.56,69.870003,18.93,82.279999,74.120003
39,35.939999,38.060001,4.1,15.71,40.75,83.160004,82.110001,26.360001,63.419998,51.529999,25.530001,31.92,40.189999,46.959999,13.81,46.709999,9.4,18.51,29.120001,29.719999,30.82,22.049999,61.645023,78.910004,114.989998,10.46,23.610001,65.599998,6.01,70.33000200000001,16.48,81.43,75.849998
40,35.880001,35.130001,3.61,15.85,39.209999,81.949997,79.16999799999998,25.040001,64.66999799999999,51.560001,24.950001,30.67,38.880001,45.209999,13.06,42.560001,8.7,17.969998999999994,28.34,28.459999,29.35,21.1,60.646725,75.93,115.120003,9.93,24.27,64.360001,6.51,65.300003,13.42,81.129997,76.209999
41,35.24000200000001,32.959999,3.48,15.47,39.34,81.639999,76.639999,24.370001,62.009998,50.419998,24.48,30.51,38.0,44.619999,13.06,41.860001,8.14,17.450001,27.65,26.450001,29.129999,21.290001,61.215935,76.91999799999998,109.209999,9.81,21.93,62.060001,6.3,64.870003,15.78,83.150002,76.33000200000002
42,35.5,32.049999,3.58,16.530001000000002,39.740002,84.16999799999998,78.660004,24.879999,63.150002,52.959999,24.49,30.889999,38.970001,45.349998,13.17,42.400002,8.21,17.32,27.889999,26.52,30.18,22.23,63.392235,80.379997,114.550003,9.75,21.91,63.16,6.74,67.08000200000001,16.559998999999998,84.940002,77.93
43,33.27,30.24,2.86,16.049999,35.54000100000001,79.980003,73.620003,22.559999,59.73,52.18,23.34,29.040001,35.77,41.580002,12.05,40.169998,7.34,15.96,25.16,23.879999,28.799999,20.809999,60.15773000000001,76.900002,109.370003,9.04,19.879999,61.400002,6.06,64.959999,15.19,79.389999,75.07
