,AFL,AIG,AIZ,AJG,ALL,AMG,AMP,AON,AXP,BAC,BBT,BEN,BK,BLK,C,CB,CBOE,CFG,CINF,CMA,CME,COF,DFS,ETFC,FITB,GS,HBAN,HIG,HRB,ICE,IVZ,JPM,KEY,L,LNC,LUK,MCO,MET,MMC,MS,MTB,NAVI,NDAQ,NTRS,PBCT,PFG,PGR,PNC,PRU,RF,SCHW,SPGI,STI,STT,SYF,TMK,TROW,TRV,UNM,USB,WFC,WLTW,XL,ZION
0,62.68,59.150002,82.08000200000002,42.849998,62.23,167.470001,112.129997,92.769997,70.83000200000002,17.129998999999998,37.279999,39.509998,42.57,343.26001,52.959999,111.709999,69.629997,25.6,59.490002,44.669998,95.230003,76.949997,55.599998,28.690001,19.57,189.990005,11.19,45.060001,35.75,51.773998,31.639999,65.459999,12.71,36.790001,54.389999,18.01,96.610001,44.224598,54.0,33.740002000000004,122.379997,11.99,56.41,73.110001,16.290001,48.580002,30.4,92.190002,84.08000200000002,9.66,32.259998,94.440002,41.880001,68.989998,30.23,58.450001,74.300003,111.849998,35.75,42.369999,54.48,114.91391000000002,36.709999,29.34
1,63.799999,60.950001,83.709999,43.610001,63.130001,172.71000700000005,113.559998,94.260002,71.91999799999998,17.5,38.040001,40.560001,43.130001,352.410004,53.889999,113.540001,70.139999,25.719999,60.279999,45.75,96.139999,77.800003,56.509998,29.32,19.85,192.669998,11.47,46.02,36.41,52.71200200000001,32.209999,66.66999799999999,12.96,37.599998,54.389999,18.42,99.300003,45.106953,54.98,34.439999,124.059998,12.03,57.119999,74.099998,16.559998999999998,49.93,30.93,93.639999,85.970001,9.87,32.790001000000004,95.239998,43.0,70.760002,30.389999,59.580002,75.230003,112.809998,36.720001,43.18,55.330002,117.218544,37.200001,29.75
2,63.75,61.200001,84.139999,43.279999,62.75,171.419998,113.699997,93.75,71.129997,17.43,37.880001,40.599998,42.970001,354.679993,53.849998,113.410004,70.730003,25.73,60.259998,45.689999,95.540001,76.949997,56.18,29.42,19.969999,191.050003,11.52,45.220001,36.529999,52.618,32.34,66.480003,12.94,37.57,55.029999,18.219999,101.449997,44.991089,54.869999,33.689999,124.790001,11.93,57.59,74.480003,16.59,49.98,30.690001,93.480003,85.910004,9.9,32.869999,95.239998,43.169998,71.150002,30.91,59.720001,74.809998,112.839996,36.59,43.110001,55.060001,117.37748700000002,36.959999,29.940001
3,64.989998,61.950001,85.709999,43.740002,63.490002,176.479996,115.559998,94.860001,72.099998,17.780001000000006,38.349998,41.470001,43.970001,360.529999,54.880001,114.900002,71.400002,26.1,60.59,46.59,96.18,78.529999,57.119999,30.290001,20.299999,193.820007,11.73,45.900002,36.810001,52.624001,33.060001,67.58000200000001,13.11,37.950001,55.66,18.35,103.260002,45.392159,55.57,34.279999,125.419998,12.06,58.279999,75.58000200000002,16.639999,50.740002,31.379999,93.739998,87.16999799999998,10.03,33.360001000000004,95.800003,43.759998,72.779999,31.610001,60.0,76.379997,114.849998,36.650002,43.91,55.77,118.119202,37.389999,30.049999
4,65.519997,62.240002,85.93,44.0,63.299999,177.46000700000005,114.949997,93.919998,72.879997,17.809998999999994,38.700001,41.709999,44.029999,361.070007,55.369999,116.029999,71.91999799999998,26.309999,61.02,46.66,97.550003,80.07,57.91,30.209999,20.52,193.0,11.77,46.209999,36.619999,52.813999,33.389999,67.989998,13.14,37.98,55.779999,18.15,103.809998,45.409981,55.900002,34.330002,126.260002,11.76,59.360001,75.940002,16.450001,50.990002,31.51,95.699997,87.209999,10.21,33.25,96.849998,43.75,73.129997,31.889999,60.41,76.66999799999998,115.239998,36.709999,44.389999,56.259998,120.317879,38.310001,29.99
5,65.699997,62.400002,86.199997,44.32,63.349998,175.380005,114.650002,94.860001,72.459999,17.620001000000006,38.669998,41.389999,43.810001,362.850006,54.669998,116.639999,72.199997,25.969999,61.060001,46.43,97.629997,79.550003,57.049999,30.27,20.27,191.300003,11.68,45.849998,36.970001,52.681999,33.200001,67.309998,13.17,37.91,55.450001,18.08,104.550003,45.47237,55.950001,33.919998,125.260002,11.84,59.790001,75.43,16.59,50.790001,31.629999,95.309998,86.510002,10.11,33.419998,96.360001,43.5,72.779999,31.879999,60.529999,76.41999799999998,115.809998,37.040001,44.060001,55.900002,122.278145,38.389999,29.92
6,64.910004,62.040001,85.529999,43.919998,62.790001,173.399994,112.980003,94.089996,71.870003,17.26,38.5,40.73,43.25,360.529999,53.810001,115.330002,71.309998,25.639999,61.07,45.75,96.470001,78.099998,56.439999,29.719999,20.34,188.020004,11.57,45.549999,36.77,52.245998,32.830002,66.16999799999999,13.03,37.619999,53.75,18.0,103.330002,44.536541,55.25,33.27,123.980003,11.8,58.619999,74.68,16.469998999999998,50.290001,31.51,94.190002,85.18,10.01,32.91,95.120003,43.189999,71.870003,31.209999,60.029999,75.239998,115.32,36.48,43.57,55.139999,122.463577,38.049999,29.73
7,65.389999,63.310001,85.43,44.209999,62.82,175.820007,112.980003,94.660004,71.699997,17.51,38.529999,41.380001,43.830002,358.01001,54.290001,115.57,71.589996,26.129999,61.529999,46.41,96.470001,78.849998,56.790001,30.15,20.5,188.990005,11.7,45.700001,36.82,51.863998,33.279999,66.93,13.15,37.849998,54.830002,18.01,103.730003,45.08912700000001,55.509998,33.619999,124.650002,11.85,58.490002,75.410004,16.65,50.939999,31.709999,95.040001,86.0,10.14,33.669998,96.769997,43.349998,72.58000200000002,31.459999,60.880001,75.589996,115.449997,36.75,43.900002,55.459999,122.834435,38.18,29.969999
8,65.300003,63.0,85.040001,44.0,62.540001,176.5,112.900002,94.68,71.800003,17.459999,38.52,41.799999,43.869999,359.649994,54.060001,115.0,71.900002,26.23,61.009998,46.349998,96.059998,78.980003,56.790001,30.27,20.58,189.160004,11.66,45.459999,37.02,51.917999,33.57,67.0,13.13,37.790001,54.849998,17.99,103.169998,45.17825300000001,55.310001,33.630001,125.199997,11.78,58.619999,75.110001,16.66,50.919998,31.280001,94.970001,85.809998,10.09,33.689999,96.93,43.41,72.709999,31.700001,60.82,76.059998,114.709999,36.720001,43.869999,55.34,122.278145,37.900002,30.0
9,65.300003,63.619999,85.33000200000002,44.139999,62.970001,177.029999,113.610001,94.32,71.849998,17.48,38.73,41.68,43.919998,359.160004,54.34,115.349998,72.400002,26.43,61.34,46.509998,96.699997,79.08000200000002,56.849998,30.389999,20.719999,190.5,11.76,45.57,36.849998,52.048,33.650002,67.279999,13.14,37.75,55.09,17.9,103.75,45.356506,55.560001,33.810001,125.43,11.9,58.939999,75.519997,16.73,51.419998,31.120001,95.489998,86.550003,10.17,33.93,97.209999,43.52,72.809998,31.57,60.970001,76.160004,115.169998,36.939999,43.93,55.459999,122.384109,38.099998,30.209999
