,A,ABBV,ABC,ABT,AET,AGN,ALXN,AMGN,ANTM,BAX,BCR,BDX,BIIB,BMY,BSX,CAH,CELG,CERN,CI,CNC,COO,DGX,DHR,DVA,ESRX,EVHC,EW,GILD,HCA,HOLX,HSIC,HUM,IDXX,ILMN,INCY,ISRG,JNJ,LH,LLY,MCK,MDT,MNK,MRK,MTD,MYL,PDCO,PFE,PKI,PRGO,REGN,SYK,TMO,UHS,UNH,VAR,VRTX,WAT,XRAY,ZBH,ZTS
0,36.75,59.740002,96.860001,43.900002,102.389999,299.540009,166.869995,152.020004,132.759995,37.380001,181.970001,148.78999299999995,285.929993,64.150002,17.52,85.400002,107.68,56.68,131.660004,57.150002,147.5,67.059998,70.970428,72.489998,83.68,83.023949,76.584999,102.900002,66.309998,39.450001,75.720001,167.479996,66.980003,165.46000700000005,107.129997,166.110001,100.379997,119.690002,80.0,179.889999,74.489998,56.5,52.189999,326.720001,48.860001,46.77,33.290001000000004,50.59,149.910004,550.26001,95.589996,132.580002,119.57,110.900002,68.696342,122.279999,128.850006,59.470001,104.629997,45.0
1,36.5,60.099998,97.730003,44.889999,104.82,300.890015,168.759995,154.910004,134.679993,37.91,184.869995,150.800003,284.200012,64.93,17.719998999999994,86.290001,110.190002,57.66,133.259995,58.580002,148.919998,67.32,72.08491500000002,73.5,84.529999,82.335327,77.25,104.449997,67.129997,39.75,76.945,168.699997,68.16999799999999,170.429993,108.599998,166.65333600000002,100.379997,119.690002,80.93,182.789993,76.099998,57.130001,53.709999,333.079987,50.189999,46.77,33.200001,51.040001,149.139999,559.4400019999998,96.709999,135.0,120.269997,113.730003,69.397865,125.080002,130.389999,59.959999,105.209999,45.029999
2,38.43,60.259998,99.07,44.970001,105.279999,300.470001,171.839996,158.110001,136.300003,37.91,183.960007,151.220001,280.649994,66.0,17.68,87.010002,111.360001,57.360001,133.679993,58.880001,144.669998,68.510002,72.350266,73.410004,84.230003,81.437126,77.5,104.489998,69.300003,40.0,77.485001,169.580002,68.32,173.440002,114.620003,166.183334,101.529999,124.0,81.489998,185.600006,76.559998,56.450001,53.860001,337.799988,50.849998,47.880001,33.080002,51.700001,154.589996,571.400024,96.809998,135.679993,122.980003,114.25,69.003258,128.009995,132.130005,60.509998,104.75,45.810001
3,39.16,61.220001,100.330002,45.720001,101.699997,304.480011,176.5,159.889999,130.520004,37.950001,184.850006,151.130005,292.0,67.41999799999999,17.75,88.589996,115.989998,58.259998,130.5,58.220001,145.559998,68.940002,73.381348,73.739998,84.769997,81.70658900000002,78.199997,108.0,68.970001,40.459999,78.129997,165.28999299999995,68.589996,176.479996,116.660004,169.066666,102.660004,123.779999,83.199997,187.5,77.370003,58.150002,54.439999,340.480011,52.459999,48.490002,32.790001000000004,52.650002,155.800003,587.0,96.809998,137.779999,118.690002,109.790001,69.494324,133.009995,131.889999,60.580002,105.0,47.049999
4,38.779999,60.939999,99.599998,46.029999,101.349998,310.190002,176.529999,160.740005,128.169998,38.110001,182.729996,150.720001,291.850006,67.370003,17.780001000000006,87.82,115.120003,58.439999,128.550003,55.549999,144.990005,67.949997,73.692192,73.209999,84.230003,77.60479000000002,78.474998,107.339996,66.029999,40.0,77.995003,165.21000700000005,69.5,175.199997,117.900002,169.223328,102.489998,121.139999,84.300003,186.470001,76.199997,59.810001,54.610001,340.0,51.580002,48.389999,32.580002,52.900002,154.78999299999995,583.950012,95.980003,138.28999299999998,119.809998,110.889999,70.029236,132.53999299999998,131.880005,61.349998,104.519997,47.0
5,39.290001,61.310001,99.0,46.029999,104.779999,306.299988,173.21000700000005,159.630005,131.669998,38.240002,187.289993,151.309998,290.399994,67.82,17.85,87.739998,114.040001,58.700001,132.669998,57.470001,144.669998,67.900002,73.79833199999999,73.57,84.400002,78.772453,78.565002,106.699997,66.43,40.0,78.014999,167.940002,68.660004,174.53999299999995,112.940002,171.89666699999995,102.389999,121.099998,84.5,189.929993,76.239998,65.800003,54.080002,343.570007,51.860001,48.5,31.42,52.720001,155.720001,575.98999,96.540001,137.800003,122.739998,112.970001,70.678139,130.779999,133.169998,61.369999,103.75,47.23
6,39.810001,60.560001,98.160004,45.110001,104.839996,302.0,174.5,161.009995,130.809998,37.709999,185.860001,147.839996,290.959991,67.629997,17.98,86.910004,113.07,58.619999,133.059998,56.549999,142.199997,68.019997,73.040184,72.809998,85.029999,80.988022,80.0,105.75,67.089996,39.860001,77.404999,166.910004,68.589996,172.779999,112.129997,172.406662,101.809998,120.0,83.559998,188.169998,75.970001,65.040001,53.560001,337.559998,50.560001,46.02,31.379999,52.310001,148.25,567.049988,95.389999,136.589996,122.57,111.379997,70.61676,130.729996,132.610001,61.48,102.099998,46.560001
7,40.59,61.099998,99.0,45.380001,106.309998,312.339996,177.880005,163.050003,131.5,38.080002,186.259995,150.529999,290.0,67.82,18.299999,86.989998,112.68,59.150002,134.639999,57.169998,144.639999,68.440002,73.419258,73.559998,86.300003,83.772453,80.45500200000002,106.57,68.989998,39.959999,77.360001,168.800003,69.150002,177.259995,111.739998,172.42666599999995,102.169998,121.349998,83.879997,189.610001,76.470001,65.989998,53.619999,339.48999,50.27,45.16,32.360001000000004,52.709999,150.300003,567.960022,96.610001,137.800003,124.110001,113.470001,71.00259399999999,133.160004,132.559998,61.34,102.18,46.799999
8,41.32,60.169998,99.019997,45.419998,104.25,321.049988,182.320007,164.759995,131.600006,37.84,187.830002,150.839996,292.970001,68.08000200000001,18.4,87.07,112.660004,59.41,134.46000700000002,56.950001,145.139999,68.68,73.692192,73.889999,86.059998,84.401199,82.099998,108.139999,69.199997,39.91,77.800003,168.910004,70.279999,180.720001,115.629997,173.03333999999995,102.279999,122.290001,83.769997,189.839996,76.83000200000002,66.32,53.360001,340.820007,51.849998,45.709999,32.919998,53.220001,150.869995,564.080017,97.559998,138.639999,124.110001,114.489998,70.70444499999998,132.630005,133.509995,61.09,101.529999,47.139999
9,41.970001,59.959999,99.080002,45.439999,104.470001,319.359985,181.990005,163.490005,131.220001,37.73,187.509995,151.580002,293.160004,67.849998,18.4,87.389999,112.849998,59.82,135.240005,58.990002,147.149994,68.809998,73.449585,74.610001,85.91999799999998,84.161674,82.550003,108.209999,69.510002,40.700001,78.675003,169.25,70.860001,186.259995,116.610001,173.633331,102.480003,122.220001,83.760002,190.350006,76.550003,66.400002,54.040001,344.109985,51.709999,45.59,32.91,53.5,151.029999,563.98999,98.379997,140.28999299999998,124.860001,114.559998,71.0289,132.880005,134.25,61.07,101.110001,47.080002
