,AAL,ALK,ALLE,AME,ARNC,AYI,BA,CAT,CHRW,CMI,COL,CSX,CTAS,DAL,DE,DNB,DOV,EFX,EMR,ETN,EXPD,FAST,FBHS,FDX,FLR,FLS,FTV,GD,GE,GWW,HON,IR,ITW,JBHT,JCI,JEC,KSU,LLL,LMT,LUV,MAS,MMM,NLSN,NOC,NSC,PCAR,PH,PNR,PWR,R,RHI,ROK,ROP,RSG,RTN,SRCL,TDG,TXT,UAL,UNP,UPS,URI,UTX,VRSK,WM,XYL
0,42.41,75.379997,63.990002,53.75,17.923538,211.520004,142.580002,69.480003,67.18,98.620003,85.0,26.889999,88.870003,47.860001,73.959999,106.349998,63.060001,104.699997,47.689999,54.099998,48.009998,38.57,51.560001,157.990005,46.689999,44.759998,,141.25,29.879999,197.0,100.544273,56.889999,89.43,73.82,36.879581,40.599998,87.349998,118.959999,214.309998,45.259998,28.379999,155.610001,46.32,179.899994,88.809998,49.970001,99.830002,55.09,20.66,65.260002,50.549999,102.099998,184.399994,42.77,117.879997,122.849998,229.77999900000003,40.93,57.369999,83.589996,101.709999,74.059998,96.559998,71.949997,52.049999,35.799999
1,43.0,77.0,65.0,54.93,18.733133,218.899994,145.28999299999995,70.129997,67.339996,99.480003,88.099998,27.32,89.389999,48.060001,75.08000200000002,107.360001,64.360001,106.830002,48.869999,55.599998,48.639999,38.610001,52.419998,157.990005,47.759998,45.580002,,143.71000700000005,30.57,197.899994,102.633148,57.860001,91.260002,75.129997,37.58115,41.459999,87.949997,124.050003,222.070007,46.0,28.379999,158.360001,46.799999,188.0,88.230003,50.369999,101.949997,55.77,21.17,66.360001,51.130001,104.900002,187.720001,43.630001,122.879997,122.849998,231.25999500000003,42.68,58.299999,84.370003,103.349998,76.220001,98.169998,73.059998,52.619999,36.66
2,42.32,77.559998,65.16999799999999,54.529999,18.688156,216.610001,146.240005,69.900002,67.839996,97.860001,88.82,27.709999,89.910004,47.830002,74.050003,107.410004,63.849998,108.059998,48.830002,55.040001,48.970001,39.02,52.669998,160.600006,47.540001,45.18,,143.28999299999995,30.219999,194.25,102.076111,57.66,90.57,76.150002,37.172775,41.110001,89.620003,124.68,222.539993,45.93,29.360001,156.179993,47.080002,186.449997,90.690002,50.049999,101.5,55.299999,21.1,66.5,50.619999,103.5,186.320007,43.57,123.860001,122.370003,231.350006,41.849998,57.490002,85.739998,103.220001,76.120003,97.629997,71.800003,52.77,37.150002
3,41.939999,78.519997,65.900002,55.950001,19.137932,226.130005,148.78999299999995,69.5,68.190002,98.150002,90.269997,28.35,91.470001,48.200001,74.029999,108.529999,64.889999,110.040001,50.099998,56.970001,49.380001,39.599998,54.110001,163.0,48.259998,45.529999,,144.830002,30.379999,198.100006,103.70742,58.18,91.599998,77.58000200000002,37.560211,41.73,92.529999,125.529999,224.479996,46.57,29.84,157.630005,47.939999,188.919998,92.0,51.450001,102.510002,56.310001,21.290001,66.160004,51.060001,105.720001,190.789993,44.189999,125.639999,122.5,231.669998,42.82,58.09,87.08000200000002,104.0,76.470001,97.970001,73.220001,53.77,37.419998
4,42.400002,79.589996,66.82,56.049999,19.812593,225.410004,149.839996,70.480003,68.58000200000001,98.709999,92.720001,29.35,91.209999,48.470001,75.209999,108.599998,65.620003,110.040001,50.310001,57.029999,49.529999,39.689999,54.549999,164.080002,49.16,46.009998,,146.25,30.26,199.130005,104.831436,58.900002,92.860001,77.980003,37.58115,42.790001,94.120003,126.040001,225.449997,47.0,30.01,158.679993,47.959999,189.360001,96.559998,51.369999,104.260002,57.110001,21.629999,67.889999,50.959999,106.279999,190.179993,44.169998,126.75,121.089996,237.339996,43.459999,58.490002,87.519997,104.580002,75.989998,98.639999,73.879997,53.860001,37.830002
5,42.110001,81.949997,66.639999,56.150002,20.352324,226.100006,149.389999,70.980003,68.790001,98.800003,94.290001,29.790001,91.019997,49.0,75.709999,106.690002,65.230003,110.0,50.200001,57.450001,49.330002,39.639999,54.549999,164.139999,47.880001,45.849998,,145.759995,30.59,198.839996,105.000534,58.849998,93.620003,77.160004,36.774868,40.459999,93.089996,126.120003,226.5,47.450001,30.200001,158.899994,47.709999,189.5,97.400002,51.580002,103.540001,56.700001,21.42,66.980003,50.799999,105.260002,191.339996,44.389999,127.120003,121.889999,236.720001,43.439999,58.849998,86.860001,104.129997,75.400002,98.18,73.989998,54.119999,37.560001
6,41.02,79.32,65.470001,56.110001,20.397301,227.0,147.490005,70.779999,68.120003,97.860001,93.699997,28.870001,91.849998,47.360001,74.059998,107.32,65.050003,110.110001,49.880001,57.0,48.860001,39.59,54.57,162.029999,48.130001,45.630001,,143.869995,30.33,197.110001,102.75251,58.189999,92.790001,76.699997,36.806282,43.5,91.5,125.629997,224.960007,46.41,30.030001,157.369995,46.919998,186.800003,94.370003,50.869999,102.760002,56.279999,21.370001,65.110001,50.5,104.300003,190.779999,43.810001,126.18,123.239998,234.580002,43.099998,57.09,84.93,103.07,75.870003,97.57,73.440002,53.869999,37.259998
7,41.349998,80.010002,65.5,56.5,20.352324,227.789993,149.03999299999995,71.739998,68.43,99.559998,94.239998,28.84,91.830002,47.450001,80.190002,107.639999,65.510002,110.330002,49.98,57.610001,49.27,39.990002,55.240002,163.190002,48.23,46.57,,145.630005,30.639999,199.050003,102.931557,58.57,93.389999,77.66999799999998,36.86911,43.950001,91.410004,124.480003,226.479996,46.419998,30.190001,158.059998,46.669998,187.759995,94.690002,51.459999,103.779999,56.549999,21.77,66.230003,51.040001,103.910004,193.270004,43.990002,126.5,123.639999,235.710007,43.209999,57.080002,84.43,103.360001,77.730003,97.410004,73.839996,54.02,37.490002
8,41.380001,79.809998,66.489998,56.5,20.95952,230.589996,147.5,71.18,68.660004,99.82,93.839996,28.799999,91.800003,46.990002,80.08000200000002,107.68,64.870003,111.269997,50.099998,57.869999,49.0,40.099998,55.669998,163.399994,47.75,46.310001,,145.529999,30.27,199.199997,103.110603,58.5,93.290001,77.949997,36.94241,43.25,91.650002,123.599998,225.52999900000003,45.990002,30.450001,157.509995,46.610001,188.070007,95.690002,51.580002,103.57,55.939999,21.700001,66.389999,51.040001,105.029999,194.009995,44.02,126.139999,121.529999,236.119995,43.290001,56.400002,84.650002,103.790001,77.32,97.010002,74.440002,53.990002,37.529999
9,41.75,79.769997,67.269997,56.779999,20.98201,233.289993,146.970001,71.33000200000002,68.839996,99.919998,93.459999,28.950001,91.940002,47.209999,79.33000200000002,109.279999,65.199997,112.610001,50.369999,58.200001,49.369999,40.41,55.860001,163.600006,48.220001,46.16,,146.5,30.33,199.699997,103.747208,58.5,93.379997,79.25,36.94241,43.599998,92.440002,124.599998,223.600006,45.900002,30.290001,158.100006,47.119999,188.919998,95.379997,51.669998,104.279999,56.299999,21.780001,66.599998,51.290001,107.540001,195.0,44.299999,125.790001,120.620003,236.929993,43.150002,56.82,84.839996,104.050003,77.360001,97.059998,75.110001,54.029999,37.580002
