,ALB,APD,AVY,BLL,CF,ECL,EMN,FCX,FMC,IFF,IP,LYB,MLM,MON,MOS,NEM,NUE,PPG,PX,SEE,SHW,VMC,WRK
0,47.43,127.076782,62.419998,32.900002,47.759998,116.230003,68.599998,8.71,40.57,111.779999,40.16,91.849998,153.339996,94.019997,32.259998,17.59,40.59,100.910004,113.489998,44.25,262.630005,99.260002,43.787727
1,48.110001,129.61146499999998,63.529999,33.23,49.759998,116.690002,69.519997,8.94,41.560001,114.050003,40.220001,94.0,157.559998,95.75,32.869999,17.51,40.59,101.900002,116.019997,44.470001,267.339996,102.0,41.706459
2,48.639999,129.121185,63.630001,33.174999,49.360001,116.709999,69.849998,8.53,42.049999,115.669998,40.0,94.379997,157.0,93.82,31.709999,17.0,41.009998,101.809998,113.510002,44.209999,268.440002,101.400002,42.922787
3,50.5,129.010178,65.440002,34.154999,48.950001,118.019997,71.5,8.8,42.880001,117.480003,41.029999,94.849998,159.610001,96.169998,32.049999,17.799999,42.07,104.230003,115.449997,45.009998,273.0,103.650002,44.409405
4,50.939999,129.592972,66.279999,34.400002,46.360001,118.370003,71.089996,8.44,42.720001,118.099998,41.490002,93.449997,161.139999,96.519997,32.450001,18.1,42.009998,103.5,115.669998,45.799999,272.619995,105.080002,45.373459
5,51.57,129.14894099999998,65.849998,34.700001,43.790001,118.07,71.139999,8.2,41.830002,117.230003,41.169998,93.620003,161.029999,96.190002,31.17,17.540001,41.25,105.0,114.989998,45.43,274.27999900000003,105.779999,44.247231
6,51.950001,128.79740900000002,65.290001,34.240002000000004,44.91,119.470001,71.190002,8.19,41.790001,118.220001,41.009998,94.269997,158.850006,95.010002,30.91,17.82,40.790001,104.529999,114.150002,44.400002,272.559998,104.589996,47.409676
7,52.889999,128.76040600000002,66.099998,34.674999,45.689999,119.5,72.029999,8.16,42.529999,120.540001,41.810001,96.019997,161.100006,95.419998,31.360001,17.709999,41.939999,105.910004,113.720001,45.0,277.48999,104.550003,44.986034
8,52.900002,127.789085,66.059998,34.345001,45.209999,118.779999,70.790001,8.13,42.599998,120.230003,41.68,94.480003,159.949997,95.800003,31.469999,17.5,41.459999,106.279999,113.080002,45.09,276.179993,103.720001,45.157223
9,53.290001,127.520813,65.849998,34.48,45.040001,119.150002,71.300003,8.11,42.360001,120.339996,42.040001,95.610001,161.259995,95.349998,31.08,17.59,41.459999,106.360001,113.660004,45.25,276.730011,104.0,46.941166
10,53.68,126.493988,66.059998,34.709999,46.450001,119.5,72.809998,8.25,43.169998,117.889999,41.919998,96.0,158.240005,96.129997,31.5,18.24,41.700001,106.389999,112.25,45.25,277.070007,103.089996,45.751869
11,52.75,127.206291,66.040001,34.369999,46.59,119.330002,72.0,8.23,41.849998,121.559998,41.049999,96.370003,159.979996,96.589996,31.809999,18.059999,41.759998,106.199997,111.550003,45.25,277.76001,103.809998,44.841877
12,52.27,128.54763799999998,65.440002,34.224998,45.349998,118.970001,71.910004,7.85,41.32,120.419998,40.049999,95.660004,158.059998,97.18,30.940001,18.09,41.529999,105.400002,110.129997,45.099998,274.209991,103.07,46.941166
13,52.509998,126.133209,64.25,33.959999,45.490002,118.209999,71.18,7.65,41.93,119.480003,39.650002,94.940002,154.720001,96.68,31.0,18.940001,40.919998,104.510002,109.57,45.25,267.839996,99.139999,45.652763
14,52.529999,127.326546,65.16999799999999,34.580002,44.110001,118.610001,72.059998,7.63,42.099998,120.809998,39.950001,95.5,154.119995,97.470001,30.719999,20.030001,40.66,105.269997,109.660004,45.75,271.049988,99.550003,44.427425
15,50.549999,125.309898,64.379997,34.009998,42.580002,117.059998,69.720001,7.06,40.990002,120.57,39.360001,88.699997,145.559998,96.669998,31.82,19.610001,39.259998,103.919998,108.190002,44.82,268.049988,96.849998,44.021984
16,50.77,123.459763,64.16999799999999,34.07,42.68,116.839996,68.400002,6.96,40.369999,121.18,39.110001,88.25,148.410004,97.260002,30.23,19.76,39.919998,102.75,106.93,44.66,269.670013,98.019997,43.373276
17,49.93,123.496765,63.799999,34.825001,43.09,116.690002,70.290001,7.07,40.279999,120.57,39.34,88.300003,143.869995,96.610001,30.82,19.5,39.93,101.330002,106.459999,44.259998,269.220001,94.459999,42.373188
18,47.970001,120.592041,63.0,35.380001,42.240002,114.120003,68.160004,7.16,38.549999,116.690002,38.5,86.0,141.520004,94.989998,29.860001,19.129999,40.419998,100.879997,104.940002,42.939999,266.540009,94.459999,41.607353
19,47.830002,120.536537,63.080002,35.625,40.810001,112.169998,67.089996,6.85,37.98,116.230003,38.07,85.339996,142.470001,93.529999,29.360001,19.059999,40.290001,98.559998,105.160004,42.919998,262.140015,94.5,41.12983300000001
20,48.099998,120.323776,63.439999,35.669998,40.349998,114.550003,67.5,6.57,37.5,117.639999,37.970001,86.959999,143.619995,94.589996,28.84,18.450001,40.41,98.720001,105.5,42.639999,266.149994,95.300003,40.246868
21,49.150002,122.765961,63.720001,35.814999,41.490002,115.669998,67.550003,6.63,38.040001,119.190002,38.380001,88.610001,146.179993,95.82,29.68,18.790001,38.450001,99.18,106.620003,42.93,266.179993,95.760002,39.652222
22,51.990002,122.599442,64.510002,35.889999,41.310001,118.050003,68.379997,6.57,38.619999,120.809998,38.689999,89.300003,148.050003,97.019997,30.030001,18.440001,38.209999,100.529999,106.269997,43.779999,270.48999,97.610001,40.354988
23,52.009998,119.79648600000002,62.900002,35.134998,41.110001,115.160004,66.370003,6.29,37.349998,117.75,37.540001,87.440002,142.25,95.290001,28.73,17.799999,38.310001,97.989998,102.330002,42.759998,261.019989,94.080002,40.526173
24,51.599998,119.629974,62.669998,35.09,41.759998,113.32,66.839996,6.31,38.220001,116.599998,37.200001,87.970001,140.360001,95.230003,28.709999,18.09,39.209999,96.919998,102.040001,42.790001,258.140015,94.379997,39.868458
25,51.599998,120.786308,63.009998,35.24000200000001,41.34,113.980003,66.989998,6.28,38.450001,117.910004,37.389999,88.059998,141.419998,95.709999,27.4,17.530001000000002,39.779999,97.900002,102.550003,42.84,262.049988,95.580002,40.129742
26,54.560001,122.691956,63.439999,35.794998,42.950001,115.470001,68.160004,6.7,39.689999,119.879997,37.939999,88.16999799999998,141.389999,98.0,28.959999,17.860001,41.66,99.379997,103.580002,43.23,263.77999900000003,96.139999,40.057663
27,56.25,122.950974,63.98,36.25,44.09,116.190002,69.129997,7.53,40.849998,119.449997,38.380001,89.449997,142.96000700000005,99.620003,30.09,18.290001,41.009998,99.940002,104.379997,43.799999,266.320007,96.860001,41.165871
28,55.720001,122.590195,63.700001,36.139999,43.040001,115.32,68.400002,7.33,40.310001,119.080002,38.349998,87.709999,141.860001,99.110001,29.6,18.290001,40.75,100.199997,104.019997,43.689999,263.25,96.230003,40.913597
29,57.41,123.681778,64.470001,36.52,42.380001,116.400002,68.790001,7.15,40.110001,121.339996,38.360001,87.769997,141.0,99.110001,29.17,18.139999,40.580002,100.82,104.669998,44.080002,266.01001,96.93,41.391117
30,56.419998,122.192413,63.220001,36.805,42.389999,116.169998,68.41999799999999,6.74,40.16,121.029999,38.52,88.07,140.619995,99.290001,28.91,17.709999,40.23,100.330002,104.160004,44.279999,263.950012,96.209999,41.183891
31,56.060001,121.600372,63.200001,36.445,40.75,115.040001,67.449997,6.69,39.490002,120.260002,38.080002,87.0,136.910004,98.5,28.059999,17.719998999999994,40.349998,99.379997,102.800003,44.900002,261.410004,95.120003,40.949635
32,54.970001,118.603142,61.68,35.805,40.060001,112.900002,66.5,6.6,37.810001,118.309998,37.16,86.279999,134.589996,97.150002,27.309999,18.440001,39.639999,97.269997,101.029999,43.700001,257.309998,93.5,40.373005
33,55.549999,118.84366599999998,61.139999,36.115002,40.380001,112.550003,67.129997,6.62,38.040001,118.400002,37.790001,87.82,136.190002,98.220001,28.66,18.57,39.900002,98.629997,102.510002,43.240002,256.570007,92.75,41.057755
34,53.470001,115.504166,60.860001,35.945,38.650002,109.82,65.93,6.37,36.889999,117.150002,37.470001,85.110001,130.580002,95.769997,27.83,18.709999,39.220001,96.440002,99.830002,42.68,251.020004,91.019997,40.273899
35,51.259998,112.183167,59.830002,35.57,35.310001,105.949997,64.529999,5.98,35.5,115.610001,36.790001,82.379997,127.480003,93.389999,26.17,18.799999,38.59,95.07,98.839996,42.09,243.630005,88.529999,39.030544
36,50.450001,111.285843,59.599998,35.455002,34.400002,105.489998,64.970001,5.67,35.939999,116.989998,36.299999,80.519997,130.009995,93.760002,25.5,18.51,37.459999,95.68,98.040001,42.380001,243.399994,88.449997,39.22876
37,49.240002,112.053658,59.84,34.945,34.009998,104.660004,63.880001,5.4,35.810001,117.279999,36.18,78.83000200000002,126.75,92.970001,25.0,18.120001,36.740002,94.839996,98.370003,41.610001,242.5,86.980003,37.904316
38,48.790001,111.646622,60.049999,34.889999,33.130001,105.830002,63.099998,4.31,35.689999,118.669998,36.720001,77.440002,125.949997,92.849998,24.299999,17.120001000000002,36.450001,95.330002,99.5,41.73,243.850006,86.730003,36.057301
39,49.619999,112.793709,59.939999,35.439999,32.869999,106.650002,63.580002,4.18,35.599998,118.849998,36.549999,79.75,128.169998,92.989998,24.75,17.07,36.610001,95.980003,100.589996,42.310001,247.830002,86.889999,34.165240999999995
40,48.029999,110.305275,58.84,34.310001,31.969999,103.480003,62.889999,3.81,34.459999,116.089996,36.169998,74.910004,123.290001,91.360001,24.08,17.17,35.880001,93.290001,98.239998,40.860001,243.660004,83.66999799999998,34.363457000000004
41,47.639999,106.993523,58.23,33.43,31.629999,103.389999,62.25,3.8,34.259998,114.93,35.49000200000001,74.720001,120.879997,90.330002,24.440001,17.65,35.279999,91.639999,99.410004,40.220001,238.479996,82.5,33.831875
42,48.48,109.888992,59.650002,34.724998,32.040001000000004,104.0,62.59,4.58,35.470001,116.080002,36.759998,75.019997,125.970001,91.75,25.76,17.809998999999994,35.79000100000001,92.800003,98.480003,41.41,243.490005,85.099998,33.732769
43,47.560001,108.788162,58.169998,33.785,29.879999,100.879997,60.049999,3.77,34.330002,111.43,35.07,71.739998,117.470001,89.470001,24.379999,16.610001,34.610001000000004,90.449997,96.57,39.360001,240.0,80.910004,32.327236
44,47.990002,109.324699,59.389999,34.095001,29.18,102.110001,60.700001,4.14,34.59,112.099998,35.450001,72.43,117.440002,90.269997,24.110001,16.469998999999998,34.950001,93.0,98.25,39.959999,245.190002,82.089996,32.642582
45,50.66,110.175766,60.0,33.900002,31.110001,103.879997,62.689999,4.59,35.639999,113.459999,36.029999,77.43,120.580002,92.32,25.25,16.43,35.639999,92.790001,99.400002,40.459999,248.429993,83.730003,33.561581
