,AIV,AMT,AVB,BXP,CBG,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,GGP,HCN,HCP,HST,IRM,KIM,MAA,MAC,O,PLD,PSA,REG,SLG,SPG,UDR,VNO,VTR,WY
0,36.16,96.470001,172.649994,122.589996,34.619999,83.660004,71.290001,290.089996,77.400002,217.809998,78.760002,141.660004,24.75,58.209999,29.836065,16.549999,28.58,25.48,84.190002,74.839996,47.43,40.959999,226.25999500000003,64.559998,115.07,185.389999,34.549999,75.650764,49.689999,29.25
1,36.400002,98.230003,174.009995,123.440002,34.990002000000004,84.410004,71.309998,293.23999,78.58000200000002,220.419998,79.660004,143.149994,25.51,58.209999,30.373405,16.76,28.76,25.6,85.41999799999998,75.66999799999998,48.040001,41.66,229.330002,65.150002,115.830002,187.259995,34.950001,76.297493,50.389999,30.139999
2,36.860001,98.620003,175.669998,123.699997,35.16,85.010002,71.849998,298.959991,78.870003,222.860001,81.300003,144.860001,25.280001,59.139999,30.582878000000004,16.469998999999998,28.639999,26.0,86.540001,76.449997,48.48,41.84,232.729996,66.25,117.080002,187.240005,35.580002,76.507683,50.41,30.85
3,36.93,99.870003,176.399994,124.540001,36.040001,85.949997,71.5,287.75,78.970001,223.77999900000003,81.0,146.300003,25.48,59.77,31.247723,16.549999,28.99,26.34,87.099998,79.16999799999998,49.450001,42.389999,233.080002,67.07,118.239998,190.710007,35.57,77.453514,51.23,32.0
4,37.23,100.199997,177.949997,124.870003,36.48,86.41999799999998,71.519997,286.890015,79.57,226.729996,81.32,147.089996,25.530001,60.939999,31.657558,16.280001000000002,28.92,26.459999,87.839996,80.150002,49.41,42.419998,235.649994,67.58000200000001,118.82,192.410004,35.99000200000001,78.181084,51.849998,32.220001
5,37.5,100.489998,180.190002,126.690002,36.82,87.16999799999998,72.610001,297.76001,79.93,228.220001,82.760002,147.020004,25.76,62.290001,31.857924,16.309998999999998,28.870001,26.549999,88.720001,80.25,49.82,43.099998,236.949997,67.639999,119.209999,192.330002,36.470001,78.399353,52.720001,32.150002
6,37.48,99.279999,180.240005,124.980003,36.59,87.0,71.91999799999998,296.690002,79.150002,229.240005,82.360001,146.110001,25.709999,62.080002,32.021858,16.129998999999998,28.809999,26.07,88.0,79.370003,49.509998,43.25,236.139999,66.82,118.370003,190.0,36.419998,78.229591,53.150002,31.780001
7,37.439999,99.150002,179.740005,124.949997,36.990002,86.68,71.879997,293.829987,79.260002,228.639999,82.839996,145.979996,25.700001,62.34,32.15847,16.25,28.85,26.09,87.959999,79.239998,49.450001,43.41,238.0,67.269997,117.769997,188.130005,36.560001,78.63378900000002,52.790001,32.150002
8,37.82,99.089996,180.800003,124.699997,37.32,86.410004,71.610001,295.01001,79.68,230.070007,83.370003,145.740005,25.52,62.43,32.231331,16.540001,27.93,26.09,88.370003,78.959999,49.389999,43.09,239.119995,67.41999799999999,118.120003,188.199997,37.029999,78.132576,53.099998,32.279999
9,38.459999,99.949997,182.789993,126.129997,37.509998,86.18,72.269997,297.75,80.75,234.570007,84.309998,148.399994,25.99,63.18,32.622952000000005,16.65,28.129999,26.450001,89.440002,79.650002,50.130001,43.630001,241.380005,68.360001,119.349998,191.0,37.810001,79.005661,53.759998,32.330002
10,38.279999,99.5,182.649994,125.870003,37.5,86.18,72.559998,297.700012,80.300003,232.050003,83.93,147.259995,25.620001,63.650002,32.586521000000005,16.73,27.969999,26.299999,88.760002,78.68,49.990002,42.91,241.899994,67.720001,118.629997,187.039993,37.07,78.746971,53.68,32.369999
11,38.650002,100.959999,184.470001,126.110001,37.619999,87.07,72.589996,300.769989,80.83000200000002,234.690002,85.199997,146.850006,25.950001,64.510002,32.750454,16.809998999999998,28.0,26.549999,89.629997,78.889999,50.189999,43.490002,242.0,67.870003,120.220001,188.520004,37.32,79.393692,53.799999,32.099998
12,37.939999,99.43,180.0,122.800003,36.959999,85.699997,72.089996,298.369995,79.879997,228.0,85.0,143.949997,25.24,63.02,32.295082,16.41,27.5,25.889999,88.260002,76.599998,49.419998,42.290001,239.380005,66.32,117.379997,182.690002,36.610001,78.011314,53.02,31.75
13,37.630001,98.07,177.399994,122.959999,36.119999,85.059998,71.529999,296.220001,78.160004,228.419998,84.25,142.240005,25.549999,63.060001,32.185790999999995,16.040001,27.43,25.48,86.839996,77.139999,49.07,41.759998,238.160004,65.349998,117.190002,183.240005,36.110001,78.286179,52.330002,31.59
14,38.560001,97.059998,180.289993,124.010002,36.59,85.08000200000002,72.839996,302.410004,79.739998,232.800003,86.540001,144.440002,26.34,63.669998,32.513659999999994,16.24,27.540001,25.629999,88.959999,78.660004,49.990002,42.66,242.490005,65.610001,117.470001,186.630005,36.740002,78.94098699999998,53.209999,31.950001
15,38.189999,97.339996,178.820007,124.860001,36.110001,86.110001,72.0,295.519989,79.099998,232.380005,86.129997,144.440002,26.129999,64.25,32.805099,15.86,27.280001,25.530001,88.25,78.620003,50.189999,42.560001,242.869995,65.540001,116.370003,187.669998,36.41,79.19158900000002,53.98,31.58
16,38.200001,96.290001,178.119995,124.0,35.880001,85.480003,71.900002,297.690002,78.120003,230.610001,86.410004,143.940002,26.190001,63.93,32.805099,15.85,26.870001,25.27,87.760002,78.08000200000002,49.740002,42.040001,246.820007,65.16999799999999,114.300003,187.160004,36.119999,78.819725,53.650002,31.450001
17,38.25,95.540001,177.669998,123.489998,35.400002,85.32,71.480003,297.839996,77.550003,230.330002,86.110001,144.240005,26.440001,64.08000200000001,32.768669,15.91,27.049999,25.559999,87.779999,78.389999,49.57,42.240002,243.179993,65.699997,115.379997,187.410004,35.970001,78.860146,54.0,31.209999
18,37.360001,94.040001,173.610001,121.809998,34.73,84.470001,69.32,292.589996,76.82,227.710007,84.199997,140.28999299999998,25.620001,62.5,31.830601,15.92,26.58,25.0,87.25,76.989998,48.630001,41.369999,239.0,64.459999,112.260002,183.990005,35.57,77.79304499999998,53.450001,30.639999
19,37.52,93.379997,174.669998,122.949997,34.43,84.800003,69.889999,290.790009,77.290001,230.27999900000003,85.18,142.080002,25.84,62.990002,32.295082,15.83,26.73,24.99,87.93,77.150002,48.57,40.919998,241.710007,65.07,111.889999,184.0,35.84,77.98706800000002,54.240002,30.4
20,38.450001,94.870003,175.899994,126.260002,35.189999,85.779999,70.989998,294.670013,78.769997,233.25,86.910004,144.679993,26.25,64.07,32.868851,15.86,26.34,25.559999,89.970001,77.379997,49.779999,41.599998,250.850006,65.980003,112.400002,187.520004,36.700001,79.385612,54.669998,30.219999
21,38.950001,96.010002,177.669998,127.349998,35.79000100000001,85.160004,70.879997,290.880005,79.66999799999998,235.960007,87.540001,146.589996,26.48,64.779999,33.151184,16.0,26.82,26.16,89.389999,79.269997,50.200001,41.860001,247.910004,66.82,113.220001,190.509995,36.779999,79.838318,54.709999,30.24
22,39.77,97.830002,181.020004,130.570007,36.330002,86.220001,72.790001,296.209991,80.709999,240.089996,89.010002,148.729996,26.84,65.970001,33.870674,15.97,27.49,26.450001,91.529999,80.25,51.209999,42.360001,248.380005,68.160004,114.5,193.240005,37.02,80.90541800000003,55.0,30.860001
23,39.470001,95.610001,178.149994,129.300003,35.040001000000004,85.43,73.870003,292.200012,79.93,237.429993,88.059998,148.389999,26.610001,66.010002,33.788708,15.64,27.09,26.02,90.059998,79.440002,50.91,41.720001,247.020004,67.379997,112.040001,192.949997,36.509998,80.072754,54.610001,30.379999
