,CTL,FTR,LVLT,T,VZ
0,27.75,69.599998,49.73,32.349998,44.259998
1,28.450001,71.25,49.73,33.07,45.009998
2,28.25,71.550003,50.830002,33.25,45.080002
3,28.51,73.349998,50.650002,33.52,45.439999
4,28.1,74.849998,50.91,33.740002000000004,45.959999
5,27.209999,73.800003,50.91,33.66,45.310001
6,27.110001,74.25,50.41,33.290001000000004,44.75
7,27.18,73.349998,50.849998,33.349998,45.110001
8,27.059999,73.650002,50.889999,33.5,44.84
9,27.059999,75.0,50.919998,33.59,45.25
10,26.99,74.849998,51.27,33.779999,45.509998
11,27.1,76.349998,52.799999,33.759998,45.450001
12,26.59,75.300003,51.959999,33.610001000000004,44.880001
13,26.49,75.449997,51.59,33.189999,44.740002
14,26.700001,76.199997,51.599998,33.880001,45.459999
15,26.85,75.449997,51.029999,33.950001,45.669998
16,26.49,74.25,52.52,33.75,45.580002
17,26.389999,74.099998,52.57,33.630001,45.470001
18,25.68,70.649963,52.43,33.41,45.32
19,24.92,68.549965,51.52,33.150002,44.84
20,24.51,67.800003,50.939999,33.720001,45.52
21,25.51,68.550003,51.450001,33.91,45.93
22,26.110001,70.949997,52.830002,34.419998,46.490002
23,25.290001,71.399963,51.700001,33.869999,45.900002
24,25.290001,70.349968,50.990002,33.919998,45.73
25,25.200001,69.449966,52.09,34.290001000000004,46.200001
26,25.32,70.349968,53.0,34.43,46.509998
27,25.99,72.899963,54.220001,34.779999,46.91
28,25.74,72.449966,53.959999,34.619999,46.619999
29,26.0,72.900002,54.220001,34.939999,46.98
30,25.809999,71.84996,54.419998,34.93,47.200001
31,25.299999,70.649963,53.98,34.560001,46.52
32,24.85,68.999962,53.470001,34.080002,45.669998
33,25.110001,69.449966,52.419998,34.349998,46.200001
34,24.68,69.899963,52.939999,33.82,45.490002
35,24.41,70.799965,51.779999,33.619999,45.119999
36,24.370001,71.099968,51.009998,33.77,45.66
37,24.18,70.199966,50.110001,33.759998,45.110001
38,24.35,68.400002,49.990002,34.099998,45.240002
39,23.5,66.0,49.009998,34.009998,45.110001
40,23.1,63.0,47.43,33.880001,44.220001
41,23.280001,63.299969,47.450001,33.66,44.040001
42,23.540001,64.199966,47.389999,34.209999,44.740002
43,22.77,61.49996899999999,46.389999,34.139999,44.380001
44,22.370001,60.149971,45.860001,33.990002000000004,45.0
45,23.07,61.349968,46.419998,34.880001,46.41
46,23.67,65.099968,47.619999,35.189999,47.080002
47,23.83,62.99996899999999,46.869999,35.029999,47.130001
48,24.379999,66.150002,47.57,34.990002000000004,48.290001
49,24.84,67.349998,48.09,35.77,49.060001
50,24.91,68.249969,47.619999,35.709999,49.389999
51,25.200001,69.599968,48.209999,36.040001,49.939999
52,25.65,67.649963,48.200001,36.139999,50.610001
53,25.41,66.299965,47.799999,36.119999,50.25
54,26.17,69.299965,49.0,36.73,50.369999
55,26.450001,70.349968,51.209999,36.59,50.32
56,26.280001,69.449966,46.369999,36.599998,50.599998
57,25.309999,63.74996899999999,42.279999,36.700001,50.060001
58,25.059999,65.400002,44.75,36.650002,50.189999
59,26.1,61.799999,45.18,36.060001,49.599998
60,27.5,62.99996899999999,46.5,36.349998,49.540001
61,28.9,65.249969,47.290001,36.68,50.240002
62,29.15,64.799965,48.419998,36.75,50.41
63,29.84,66.749969,49.200001,36.619999,50.119999
64,30.32,68.099968,48.060001,36.900002,50.740002
65,30.120001,67.949966,48.720001,36.740002,50.860001
66,29.700001,71.099968,48.82,36.810001,50.970001
67,29.08,75.44995899999998,47.650002,36.700001,50.27
68,30.15,80.249962,48.869999,37.099998,50.900002
69,30.49,79.79995699999998,48.799999,37.490002,51.150002
70,30.17,80.999962,48.84,37.119999,50.860001
71,30.9,81.899956,49.009998,37.099998,50.990002
72,30.42,82.19995899999998,49.380001,37.220001,51.459999
73,31.190001,84.44995899999998,50.259998,37.689999,52.139999
74,31.379999,85.34996,51.59,37.91,51.75
75,31.440001,83.09996,50.32,37.799999,51.529999
76,31.99,86.399956,50.419998,37.970001,52.049999
77,31.6,80.54995699999998,50.080002,38.119999,52.549999
78,31.549999,75.149963,50.919998,38.060001,52.549999
79,31.950001,80.400002,51.77,38.450001,52.650002
80,31.83,79.34996,51.52,38.369999,52.549999
81,31.76,78.899963,51.330002,38.110001,52.240002
82,31.41,76.799965,50.880001,38.540001,52.669998
83,31.59,80.249962,52.139999,38.77,53.279999
84,31.459999,78.749962,52.689999,39.23,53.810001
85,31.700001,79.499962,52.360001,38.66,53.189999
86,31.700001,78.749962,51.75,38.900002,53.419998
87,31.58,79.19995899999998,52.0,38.599998,53.130001
88,30.870001,78.149963,50.98,38.380001,52.740002
89,31.309999,79.04995699999998,51.77,39.0,53.560001
90,31.1,79.649963,51.349998,39.130001,53.509998
91,31.35,82.499962,52.759998,39.610001,54.169998
92,31.91,84.899956,52.740002,39.419998,54.009998
93,31.82,83.249962,52.389999,38.669998,53.32
94,32.200001,82.499962,53.259998,39.16,54.029999
95,32.220001,80.999962,51.970001,39.290001,54.380001
96,32.150002,78.44995899999998,51.450001,38.790001,53.619999
97,32.369999,79.649963,51.700001,38.349998,52.52
98,32.139999,80.999962,51.860001,38.73,52.200001
99,32.150002,78.749962,52.02,38.669998,52.360001
100,32.09,79.04995699999998,51.990002,38.470001,51.66
101,32.029999,80.550003,52.73,38.779999,52.07
102,32.080002,80.69995899999998,53.380001,38.25,51.279999
103,32.049999,80.399963,53.25,38.459999,51.279999
104,32.119999,80.84996,53.450001,38.48,51.349998
105,32.41,81.899956,53.939999,38.799999,51.799999
106,32.669998,85.19995899999998,53.950001,38.990002,52.150002
107,32.68,84.44995899999998,53.880001,38.529999,50.560001
108,31.370001,83.09996,52.939999,37.849998,50.150002
109,31.32,84.149956,53.75,38.029999,50.529999
110,31.4,83.69995899999998,53.700001,38.32,50.98
111,31.41,84.29995699999998,54.189999,37.860001,50.459999
112,31.389999,84.149956,53.759998,38.720001,51.299999
113,31.34,83.09996,53.610001,38.639999,50.950001
114,31.190001,83.54995699999998,52.5,38.869999,51.220001
115,30.969999,81.899956,51.740002,39.02,51.110001
116,30.459999,77.84996,51.259998,38.75,50.48
117,29.389999,79.649963,51.32,38.939999,50.990002
118,28.16,77.999962,50.759998,38.779999,50.91
119,28.540001,79.499962,51.75,38.990002,51.220001
120,28.559999,79.04995699999998,51.470001,39.02,51.380001
121,28.790001,81.449997,52.799999,39.27,51.48
122,28.5,80.849998,53.040001,39.299999,51.220001
123,28.43,80.09996,52.32,39.490002,51.41
124,27.889999,78.749962,51.77,38.950001,50.77
125,27.780001,78.44995899999998,52.189999,39.240002,51.200001
126,27.49,76.94995899999998,51.650002,39.09,50.919998
127,26.879999,75.149963,51.599998,38.27,50.0
128,27.129999,74.999962,52.02,38.639999,49.799999
129,27.0,74.84996,52.18,38.490002,49.66
130,27.16,74.099998,52.130001,38.459999,49.360001
131,27.299999,76.799965,53.169998,38.669998,49.630001
132,26.639999,78.29995699999998,52.73,38.689999,49.849998
133,26.65,77.400002,53.459999,38.830002,50.389999
134,26.940001,77.69995899999998,53.759998,39.029999,50.880001
135,27.049999,77.09996,53.580002,39.099998,50.869999
136,26.85,76.19995899999998,53.27,38.73,50.470001
137,27.049999,76.049965,53.400002,38.970001,50.77
138,27.34,78.59996,52.860001,39.220001,51.060001
139,27.07,78.29995699999998,53.060001,39.369999,50.599998
140,27.4,78.44995899999998,53.240002,39.720001,51.509998
141,27.040001,78.149963,53.139999,39.830002,51.639999
142,26.889999,76.649963,52.630001,39.950001,51.860001
143,26.68,74.549965,52.009998,40.189999,52.5
144,26.9,73.049965,51.310001,40.169998,52.369999
145,26.77,73.649963,51.34,40.439999,52.970001
146,27.07,72.59996,50.669998,40.200001,52.84
147,27.1,75.59996,51.25,40.540001,53.43
148,27.690001,77.399963,51.810001,41.040001,54.0
149,27.639999,77.549965,51.720001,40.830002,53.889999
150,27.99,77.84996,51.709999,41.060001,54.23
151,28.27,77.549965,52.099998,41.549999,54.400002
152,27.959999,73.799965,50.150002,41.450001,54.470001
153,27.76,73.199966,48.470001,41.290001,54.060001
154,27.15,70.5,48.02,42.139999,54.759998
155,28.15,73.34996,49.650002,42.220001,54.82
156,28.48,74.09996,50.509998,42.689999,55.27
157,29.0,74.09996,51.529999,43.209999,55.849998
158,29.360001,74.09996,51.73,43.5,56.32
159,28.91,74.09996,50.279999,42.98,56.209999
160,29.530001,73.34996,51.119999,42.720001,56.099998
161,29.6,74.25,51.68,42.130001,55.389999
162,30.16,74.549965,52.759998,42.470001,55.75
163,30.58,74.399963,53.18,42.400002,55.75
164,30.67,76.049965,54.700001,42.459999,55.580002
165,31.040001,76.34996,56.740002,42.450001,55.619999
166,31.530001,76.94995899999998,56.880001,42.91,56.049999
