,AEE,AEP,AES,AWK,CMS,CNP,D,DTE,DUK,ED,EIX,ES,ETR,EXC,FE,LNT,NEE,NI,NRG,PCG,PEG,PNW,PPL,SCG,SO,SRE,WEC,XEL
0,43.240002,55.049999,9.77,56.0,34.709999,16.93,68.059998,79.389999,66.889999,61.259998,59.59,49.849998,65.199997,28.34,30.540001,29.48,100.5,19.040001,12.54,52.220001,39.09,61.700001,33.119999,58.860001,43.91,98.809998,48.990002,35.009998
1,43.82,56.060001,9.82,56.759998,35.41,17.209999,69.209999,80.800003,67.540001,62.700001,60.040001,50.830002,66.66999799999999,28.59,30.48,29.48,102.040001,19.24,12.72,53.25,39.779999,62.790001,33.91,59.759998,44.639999,101.419998,50.209999,35.5
2,42.830002,55.09,9.57,56.139999,34.970001,17.030001000000002,68.260002,79.290001,66.139999,62.419998,58.98,49.790001,65.440002,27.700001,30.059999,29.405001,100.75,19.34,12.12,52.169998,38.990002,62.099998,33.400002,58.709999,44.099998,100.089996,49.610001,35.23
3,43.419998,55.59,9.72,57.080002,35.41,17.16,68.699997,80.339996,67.489998,63.040001,59.509998,50.77,65.980003,28.190001,30.68,29.67,99.849998,19.6,12.18,52.790001,39.080002,62.349998,33.740002000000004,59.279999,44.599998,101.110001,50.209999,35.709999
4,43.93,56.540001,9.62,57.310001,35.59,17.17,69.059998,81.290001,68.849998,63.419998,60.560001,51.43,66.339996,28.280001,31.33,30.264999,100.959999,19.77,12.09,53.490002,39.66,63.130001,34.330002,60.119999,45.290001,102.0,50.48,35.869999
5,44.029999,56.57,9.67,57.5,35.669998,17.1,68.309998,81.339996,69.050003,63.369999,60.73,51.5,66.900002,27.98,31.540001,30.445,101.0,19.85,12.09,52.669998,39.669998,63.470001,34.93,60.349998,45.299999,102.32,50.389999,35.93
6,43.169998,55.689999,9.64,57.16,35.110001000000004,16.98,67.379997,80.150002,67.760002,62.470001,59.810001,50.84,66.25,27.57,31.0,29.98,99.300003,19.73,12.05,52.529999,39.200001,62.450001,33.779999,59.220001,44.689999,100.589996,49.75,35.369999
7,43.240002,55.580002,9.66,56.98,35.07,17.059998999999998,67.410004,80.209999,67.970001,62.360001,59.75,50.630001,66.66999799999999,27.75,31.129999,30.01,99.18,19.5,12.55,52.669998,39.119999,63.130001,33.91,59.5,44.709999,100.080002,49.5,35.68
8,43.279999,55.66,9.89,57.16,34.869999,17.07,67.209999,79.879997,67.739998,62.07,59.27,50.549999,66.08000200000001,27.75,30.950001,29.889999,99.120003,19.18,12.18,52.43,39.009998,62.73,33.650002,59.060001,44.57,99.360001,49.189999,35.529999
9,43.450001,55.950001,10.0,57.970001,35.200001,17.01,67.400002,80.190002,67.610001,62.27,59.57,50.700001,66.129997,27.620001,31.1,29.934999,99.279999,19.26,11.67,52.75,39.139999,63.02,33.720001,59.32,44.66,99.629997,49.669998,35.59
10,44.0,56.360001,10.02,57.73,35.130001,17.01,67.870003,80.940002,68.050003,62.380001,59.5,50.779999,66.769997,27.48,31.59,30.305,100.029999,19.23,12.18,53.040001,39.310001,63.330002,34.200001,59.41,44.84,99.639999,49.689999,35.799999
11,43.939999,56.450001,9.99,57.639999,35.27,16.940001000000002,67.279999,80.400002,67.879997,62.299999,59.169998,50.619999,67.199997,27.75,32.27,30.615,100.230003,19.389999,12.21,52.720001,39.48,63.400002,34.040001000000004,59.490002,44.970001,99.839996,49.700001,35.849998
12,42.639999,55.040001,9.56,57.23,34.66,16.52,65.959999,78.699997,66.040001,61.279999,58.32,49.529999,64.970001,27.219999,32.09,30.26,97.480003,19.32,11.01,51.799999,38.240002,61.619999,33.02,58.09,44.080002,97.82,48.380001,34.98
13,42.48,54.959999,9.52,57.439999,34.369999,16.48,65.540001,78.760002,66.489998,60.720001,58.880001,49.650002,64.610001,27.34,32.240002000000004,29.785,96.959999,18.99,10.94,52.009998,38.25,61.360001,33.139999,58.07,44.459999,97.290001,48.34,34.540001000000004
14,42.799999,56.23,9.26,57.75,34.91,16.459999,66.360001,80.32,66.800003,62.150002,60.130001,50.419998,65.739998,26.709999,32.740002000000004,30.045,98.019997,19.0,8.91,53.060001,38.290001,62.27,33.619999,59.009998,44.720001,97.440002,49.279999,34.939999
15,42.889999,56.119999,9.11,58.029999,35.439999,16.290001,66.0,81.0,68.269997,62.66,59.82,51.099998,66.510002,26.6,32.330002,30.084999,98.339996,19.07,9.45,53.02,37.990002,62.98,33.119999,59.080002,45.16,94.5,50.0,35.139999
16,42.52,55.720001,9.19,57.959999,35.220001,16.33,65.650002,80.339996,68.16999799999999,63.279999,59.32,50.900002,66.239998,26.379999,31.65,30.184999,98.790001,19.290001,10.09,52.540001,37.91,63.220001,32.970001,58.849998,45.049999,93.639999,50.279999,35.07
17,42.580002,56.279999,9.26,58.02,35.27,16.41,66.129997,80.139999,68.449997,62.869999,59.310001,50.32,67.970001,26.610001,32.07,30.16,98.989998,19.26,10.5,52.599998,38.189999,62.959999,33.360001000000004,58.599998,45.27,93.669998,49.900002,35.189999
18,41.52,54.650002,9.17,56.740002,34.73,16.139999,64.91999799999999,78.610001,67.190002,60.919998,58.799999,48.59,65.300003,26.26,31.32,29.280001,96.879997,18.91,10.33,51.560001,37.380001,60.900002,32.73,56.75,44.240002,91.900002,48.450001,34.599998
19,41.700001,54.560001,9.05,56.700001,34.759998,16.67,64.809998,78.339996,67.809998,61.220001,59.299999,48.950001,65.639999,25.99,31.57,29.215,97.480003,18.629999,10.12,51.84,37.16,61.52,32.650002,57.470001,44.459999,91.239998,48.889999,34.950001
20,42.0,55.099998,8.9,56.740002,35.110001000000004,16.610001,65.599998,78.660004,68.57,62.27,59.610001,49.470001,65.480003,25.5,31.18,29.49,98.480003,18.84,9.26,52.43,37.5,61.57,32.869999,58.48,45.110001,92.330002,49.779999,35.470001
21,42.259998,56.189999,9.29,57.529999,35.349998,16.950001,66.5,79.489998,69.290001,62.959999,59.889999,49.900002,65.599998,25.68,31.33,29.780001,99.400002,18.84,9.35,52.84,37.380001,62.360001,33.389999,59.529999,45.5,92.919998,50.110001,35.669998
22,43.060001,56.970001,9.37,58.82,36.169998,17.629998999999994,67.5,80.300003,70.07,64.16999799999999,60.849998,51.110001,67.099998,26.440001,31.639999,30.705,103.650002,19.370001,9.63,54.259998,38.27,63.57,33.810001,61.099998,46.330002,96.300003,51.25,36.419998
23,43.790001,57.209999,9.17,59.169998,36.049999,17.73,67.220001,79.870003,70.08000200000001,64.029999,60.740002,51.490002,66.910004,26.5,31.360001,31.745001,103.360001,19.18,9.43,53.57,37.950001,63.34,33.830002,61.150002,46.43,95.230003,51.009998,36.119999
24,43.279999,56.610001,9.08,59.610001,35.709999,17.459999,67.379997,79.160004,69.959999,63.529999,59.970001,50.59,66.639999,27.07,31.219999,31.375,102.779999,19.030001,10.22,53.290001,37.68,63.189999,33.73,60.549999,46.400002,94.910004,50.48,35.79000100000001
25,42.98,56.700001,9.19,58.580002,35.689999,17.549999,66.870003,78.870003,70.349998,63.459999,59.209999,50.299999,66.379997,27.379999,31.17,31.01,102.650002,18.889999,10.98,53.18,37.830002,62.98,33.48,60.299999,46.389999,94.410004,50.439999,35.24000200000001
